id,channel_id,duration(sec),domain
dT1hLTjUZi0,UCOqU-HfQxoyImaCW2tCDxJA,1428,"news debates,news panel discussions,news roundtables,news talk shows"
dUeqBoOvBZM,UCOqU-HfQxoyImaCW2tCDxJA,825,"news debates,news panel discussions,news roundtables,news talk shows"
dUx76miXkFw,UCOqU-HfQxoyImaCW2tCDxJA,1545,"news debates,news panel discussions,news roundtables,news talk shows"
cgmLvAhWZ3w,UCOqU-HfQxoyImaCW2tCDxJA,790,"news debates,news panel discussions,news roundtables,news talk shows"
hnQNoVXE3X0,UCn6KEMU47oO19OgXRGhofog,503,"entertainment debates,entertainment panel discussions,entertainment roundtables,entertainment talk shows"
d9qGBwlcsS4,UCn6KEMU47oO19OgXRGhofog,258,"entertainment debates,entertainment panel discussions,entertainment roundtables,entertainment talk shows"
d9qWSmYPg8w,UCOqU-HfQxoyImaCW2tCDxJA,1690,"news debates,news panel discussions,news roundtables,news talk shows"
chUrpdB4Elo,UC-upbfbj9RXHsjz4rTUTcSg,260,vlogs
i5FYf7MxA30,UCOqU-HfQxoyImaCW2tCDxJA,2039,"news debates,news panel discussions,news roundtables,news talk shows"
d9QlUixEpDA,UCOqU-HfQxoyImaCW2tCDxJA,940,"news debates,news panel discussions,news roundtables,news talk shows"
dBgE-IQu060,UCOqU-HfQxoyImaCW2tCDxJA,825,"news debates,news panel discussions,news roundtables,news talk shows"
dCZ88kKrW6o,UCOqU-HfQxoyImaCW2tCDxJA,1460,"news debates,news panel discussions,news roundtables,news talk shows"
9B6On9JHVms,UCOqU-HfQxoyImaCW2tCDxJA,915,"news debates,news panel discussions,news roundtables,news talk shows"
cm_a9o6iNlM,UCZU_00lJFhORXEZE3GfgGpQ,604,standup comedy
dELhM-wftXw,UCOqU-HfQxoyImaCW2tCDxJA,925,"news debates,news panel discussions,news roundtables,news talk shows"
d9ygDGu72sw,UCOqU-HfQxoyImaCW2tCDxJA,885,"news debates,news panel discussions,news roundtables,news talk shows"
dDTBVHUETSU,UCOqU-HfQxoyImaCW2tCDxJA,850,"news debates,news panel discussions,news roundtables,news talk shows"
5UEVMmtwQKg,UCOqU-HfQxoyImaCW2tCDxJA,955,"news debates,news panel discussions,news roundtables,news talk shows"
5l9rQd84oFU,UCMCQsRtK35oihJpioJvWqsg,212,cooking
dOSTr29v-X4,UCOqU-HfQxoyImaCW2tCDxJA,3267,"news debates,news panel discussions,news roundtables,news talk shows"
9LA57dc2i0Q,UCOqU-HfQxoyImaCW2tCDxJA,1850,"news debates,news panel discussions,news roundtables,news talk shows"
hp6MV7fUWFw,UCOqU-HfQxoyImaCW2tCDxJA,370,"news debates,news panel discussions,news roundtables,news talk shows"
dF7y6YwjmwM,UCOqU-HfQxoyImaCW2tCDxJA,860,"news debates,news panel discussions,news roundtables,news talk shows"
dE_ilUnLRzM,UCOqU-HfQxoyImaCW2tCDxJA,975,"news debates,news panel discussions,news roundtables,news talk shows"
cpg4Z00UegM,UCOqU-HfQxoyImaCW2tCDxJA,1655,"news debates,news panel discussions,news roundtables,news talk shows"
dFOQ7pSPT_M,UCOqU-HfQxoyImaCW2tCDxJA,870,"news debates,news panel discussions,news roundtables,news talk shows"
dGDv2np32Dg,UCOqU-HfQxoyImaCW2tCDxJA,1010,"news debates,news panel discussions,news roundtables,news talk shows"
i65lW0HeDvE,UCQroRFb1JnNLmma4PEEFJgw,1008,cooking
crRrrN5Eqfc,UCOqU-HfQxoyImaCW2tCDxJA,1350,"news debates,news panel discussions,news roundtables,news talk shows"
9U4Xs4KQazA,UCOqU-HfQxoyImaCW2tCDxJA,835,"news debates,news panel discussions,news roundtables,news talk shows"
d1FlJ60OyLU,UCOqU-HfQxoyImaCW2tCDxJA,340,"news debates,news panel discussions,news roundtables,news talk shows"
