id,channel_id,duration(sec),domain
mH-m-dl15F0,UCZCpHpF-g9X_pDM_81iJHmA,40,tv serials
mHABLihpPbA,UCijCXB1S7FVC6GnJ2t8qw7Q,188,music
mILPd8NKY4I,UCvjnIKVz_oky21epj5WNtmQ,474,music
mIs9hlTJdzE,UCvjnIKVz_oky21epj5WNtmQ,462,music
mKov3IMEhjo,UCijCXB1S7FVC6GnJ2t8qw7Q,196,music
mLCCDYM8kbw,UC41hszq3ex3RFkRD9rAFO-w,248,music
mLRWPjP2wok,UCijCXB1S7FVC6GnJ2t8qw7Q,247,music
mMBWGSEQdXU,UCtK-nd3rPl_eLeMappMWcWw,1234,music
mNU5qXu5jBg,UCijCXB1S7FVC6GnJ2t8qw7Q,248,music
mNUygeFYQbU,UCijCXB1S7FVC6GnJ2t8qw7Q,253,music
mNweAZNjvrU,UCijCXB1S7FVC6GnJ2t8qw7Q,183,music
mOa2COWe2Yo,UC41hszq3ex3RFkRD9rAFO-w,386,music
mOptgnJCrUA,UCijCXB1S7FVC6GnJ2t8qw7Q,177,music
mP8JFhTZdf0,UCijCXB1S7FVC6GnJ2t8qw7Q,171,music
mPJHXWe6yTI,UC41hszq3ex3RFkRD9rAFO-w,1012,music
mQaJD-Sb8HA,UCtK-nd3rPl_eLeMappMWcWw,314,music
mSqsb06MewQ,UCNMujyFCJxcHlvIMekaBuDw,265,music
mQpY6wWecNs,UCijCXB1S7FVC6GnJ2t8qw7Q,258,music
mRccjEY08ic,UC41hszq3ex3RFkRD9rAFO-w,280,music
mS3tjKOW_Y4,UCtR3hDuN5BMW9PHo9GTqTwQ,971,music
jfQ_ec9tI4s,UC73lNsweYibxCeQ3r48YUAQ,680,vlogs
jg5MlAgl0RI,UC6OH4tj0WzUsxxx_C3K5q5A,380,"entertainment talk shows,vlogs"
jgRBTv9Fvl8,UCvjnIKVz_oky21epj5WNtmQ,483,music
jghpbrhUWcg,UCtR3hDuN5BMW9PHo9GTqTwQ,555,music
jh6eZFZK2VE,UC73lNsweYibxCeQ3r48YUAQ,791,vlogs
ji3_xdrlVIQ,UCKEQRtPWHkth-qAgpXkGTiA,417,music
jiMt-SeOPAE,UC41hszq3ex3RFkRD9rAFO-w,374,music
jifwzPrlJbg,UCKEQRtPWHkth-qAgpXkGTiA,897,music
jiksRIMNLqQ,UCijCXB1S7FVC6GnJ2t8qw7Q,219,music
jiqls5tJdNo,UCtR3hDuN5BMW9PHo9GTqTwQ,380,music
jkgBjWptjM0,UCvjnIKVz_oky21epj5WNtmQ,469,music
jlTxwEgYGDA,UCijCXB1S7FVC6GnJ2t8qw7Q,193,music
jlkfFkRYIXg,UCijCXB1S7FVC6GnJ2t8qw7Q,244,music
