id,title
sw63MeBAZ-4,ہینسل اور گریٹل | Hansel and Gretel in Urdu | Urdu Story | Urdu Fairy Tales
stgb6Vij57k,National Music Academy of Lahore: Saman Khan
wOrRnPxzoVo,Hereditary blindness | سوہلہ والا بستی: بھکر میں بینائی سے محروم افراد کا گاؤں | VOA Urdu
uN-WlZWyVYY,اسلام آباد میں مندر کی تعمیر پر تنازع
v_tuoibTSCs,Emir believed his mother and got angry | Waada (The Promise) - Episode 13
xaFvvRjxLEQ,Cavidan can't stand his son being with Reyhan. | Waada (The Promise) - Episode 12
ya_yKMqtxlY,"VOA URDU| Headlines | 07PM | March 16, 2022 | Khalid Hameed"
z_zBPb6eRz0,"Headlines with Khalid Hameed, Wednesday, February 19, 2020"
yl4cuuu0-5Q,Travel To Portugal | Full History And Documentary About Portugal In Urdu & Hindi | پرتگال کی سیر
yuv0Lf7Omg0,"VOA URDU| View 360 | April 22, 2022 | Why Taliban failed to protect Shia community in Afghanistan?"
coTd5-NeQiM,"VOA URDU| Headlines | 07PM |July 11, 2022| Khalid Hameed"
WiRPUEIxnec,Free breast cancer treatment available in Pakistan
yXRa6vE9u6M,Are there power outages in USA? | VOA URDU
JVICvHzrwtA,ایران میں عوام کے لئے انٹرنیٹ بند
KDAQqsYwCJM,-13 °C Dunya Ka Akhri Kinara Akhri Jail   دنیا کے آخری کنارے پر سرد جیل کی کہانی   LalGulab
WEQ8owk-1n4,Waada (The Promise) - Episode 18 | URDU Dubbed | Season 1 [ترک ٹی وی سیریز اردو میں ڈب]
x5fd4b4XMgI,Americas first Muslim Congressman - Keith Ellison - Urdu 1.2
YxRHBvbcCxw,"VOA URDU| Headlines | 07 PM | July 1, 2022 | Khalid Hameed"
_TLxI3MgNkA,Travel To Mauritania | History And Documentary Mauritania In Urdu & Hindi |  موریتانیہ کی سیر
aSaVBfoBcAw,"Headlines with Khalid Hameed, Monday, December 2, 2019 - شام سات بجے کی خبریں خالد حمید کے ساتھ"
