id,channel_id,duration(sec),domain
32DLSdlrf_0,UCx8MbRAMH-KNJuFLKdsmZ_w,209,podcast
5o0nQoG-2VM,UCvm8V4Dwtz0fbPGbpk7RYAg,181,"film interview,fashion,podcast,parliament discussion,sports interview"
Xszxougn5Rc,UCx8MbRAMH-KNJuFLKdsmZ_w,1421,podcast
nsMdUnoGWR0,UCx8MbRAMH-KNJuFLKdsmZ_w,110,podcast
CgrUVivEWdc,UCx8MbRAMH-KNJuFLKdsmZ_w,1471,podcast
QryXjyM3QiA,UCx8MbRAMH-KNJuFLKdsmZ_w,39,podcast
Ew-pylDAXDA,UC0n1HCzFKwFSu4sv3OLI_Ww,362,entertainment debates
6ENbVmYzflE,UCvlR1No5dUpAFGURo_6KFiw,1159,audiobook
2eeSOeBDweM,UCx8MbRAMH-KNJuFLKdsmZ_w,98,podcast
JPUUIjXiqz4,UCvm8V4Dwtz0fbPGbpk7RYAg,192,"film interview,fashion,podcast,parliament discussion,sports interview"
Psy6yjNTWuk,UCvm8V4Dwtz0fbPGbpk7RYAg,235,"film interview,fashion,podcast,parliament discussion,sports interview"
i-NiYw-_IAI,UCvm8V4Dwtz0fbPGbpk7RYAg,156,"film interview,fashion,podcast,parliament discussion,sports interview"
Okt4MOoU_00,UCx8MbRAMH-KNJuFLKdsmZ_w,1498,podcast
LdElCL9XNwk,UCx8MbRAMH-KNJuFLKdsmZ_w,213,podcast
e50yah7klAU,UCvm8V4Dwtz0fbPGbpk7RYAg,591,"film interview,fashion,podcast,parliament discussion,sports interview"
FGWy2lzMISo,UCx8MbRAMH-KNJuFLKdsmZ_w,514,podcast
QWrUDtKSZsc,UCj5eGAka22pGvd8JMsQglSQ,309,astrology
qGEdzcz92XI,UCvm8V4Dwtz0fbPGbpk7RYAg,255,"film interview,fashion,podcast,parliament discussion,sports interview"
E4JOWSV4izY,UCvm8V4Dwtz0fbPGbpk7RYAg,246,"film interview,fashion,podcast,parliament discussion,sports interview"
jl6bghTu76g,UCx8MbRAMH-KNJuFLKdsmZ_w,122,podcast
owKtkipkxL8,UCx8MbRAMH-KNJuFLKdsmZ_w,112,podcast
1vYBPEIJj9g,UCvm8V4Dwtz0fbPGbpk7RYAg,326,"film interview,fashion,podcast,parliament discussion,sports interview"
EgbjdzWtJ7U,UCx8MbRAMH-KNJuFLKdsmZ_w,173,podcast
Z92SfSeFIXI,UCx8MbRAMH-KNJuFLKdsmZ_w,36,podcast
ULWsx30OqpM,UCj5eGAka22pGvd8JMsQglSQ,70,astrology
BDnZpgOOl5g,UCx8MbRAMH-KNJuFLKdsmZ_w,158,podcast
HgtBA-KakzE,UCx8MbRAMH-KNJuFLKdsmZ_w,1424,podcast
2doZ2xyA6Oc,UCUw6ERBSXLzIdNdeom9lBEQ,870,kids stories
